index,plant,staerke_txt,staerke_num,execution_time
1,Hasel,keine,0,
2,L\xf6wenzahn,mäßig,2,
3,Gr\xe4ser,mäßig,2,
4,Gerste,schwach,1,
5,Linde,schwach,1,
7,Beifu\xdf,schwach,1,
8,G\xe4nsefu\xdf,schwach,1,
9,Mais,schwach,1,
10,Brennessel,schwach,1,
11,Hafer,schwach,1,
12,Roggen,schwach,1,
14,Weizen,schwach,1,
15,Spitzwegerich,mäßig,2,
16,Raps,schwach,1,
17,Hopfen,schwach,1,
18,Holunder,schwach,1,
19,Ulme,schwach,1,
21,Pappel,schwach,1,
22,Weide,schwach,1,
23,Birke,schwach,1,
24,Eiche,schwach,1,
25,Esche,schwach,1,
26,Platane,schwach,1,
28,Flieder,schwach,1,
29,Ambrosia,keine,0,
30,Buche,mäßig,2,
31,Rotbuche,mäßig,2,
32,Ahorn,mäßig,2,
33,Nessel,keine,0,
35,Kiefer,schwach,1,
36,Tanne,schwach,1,
37,Fichte,schwach,1,
